FECHA,MES,VETERINARIA,FORMA DE PAGO,VTA. TOTAL,DESC. 30%,TOTAL MON PETS
1,ENERO,VET. PALO VERDE, TRANSF.,6620.00,1986.00,4634.00
2,ENERO,PATITA DE PERRO LERMA, TRANSF.,2900.00,870.00,2030.00
4,ENERO,PET KER, TRANSF.,1200.00,360.00,840.00
4,ENERO,PETS PLACE, TRANSF.,2090.00,627.00,1463.00
4,ENERO,SPA ANIMALS, TRANSF.,530.00,159.00,371.00
4,ENERO,SPA ANIMALS, TRANSF.,780.00,234.00,546.00
4,ENERO,GURR PET, TRANSF.,1010.00,303.00,707.00
5,ENERO,ACUARIO FAUNA, TRANSF.,5880.00,1764.00,4116.00
18,ENERO,PET EXCLUSIVE, TRANSF.,2830.00,849.00,1981.00
22,ENERO,GMVT PLAZA SIENNA, TRANSF.,1460.00,438.00,1022.00
22,ENERO,VET. SAN MARTIN, EFECTIVO,3930.00,1179.00,2751.00
24,ENERO,ZONA PETS, TRANSF.,1980.00,594.00,1386.00
24,ENERO,ZONA PETS, TRANSF.,1950.00,585.00,1365.00
26,ENERO,CIRCULO AZUL, EFECTIVO,1560.00,468.00,1092.00
26,ENERO,MEDIPET, EFECTIVO,1130.00,339.00,791.00
26,ENERO,SR. Y SRA. XOLO, TRANSF.,2230.00,669.00,1561.00
31,ENERO,PAW PETS, TRANSF.,2430.00,729.00,1701.00
31,ENERO,PETS PLACE, EFECTIVO,3450.00,1035.00,2415.00
31,ENERO,MUNDO MASCOTAS, EFECTIVO,6490.00,1947.00,4543.00
1,FEB,VET. OCOYOACAC, TRANSF.,2690.00,807.00,1883.00
3,FEB,VET. NEUROPETS, TRANSF.,4020.00,1206.00,2814.00
3,FEB,MI MASCOTA Y YO, TRANSF.,1550.00,465.00,1085.00
2,FEB,VET. NOE , EFECTIVO,2320.00,696.00,1624.00
5,FEB,CAN PET AZTECA, EFECTIVO,600.00,180.00,420.00
8,FEB,VET. CAN ROYAL, TRANSF.,1900.00,570.00,1330.00
7,FEB,MUNDO MASCOTAS, EFECTIVO,990.00,297.00,693.00
7,FEB,COOVET, EFECTIVO,990.00,297.00,693.00
6,FEB,GMVT PLAZA SIENNA, TRANSF,3030.00,909.00,2121.00
15,FEB,DR. ALVARO GOMEZ, TRANSF.,2740.00,822.00,1918.00
15,FEB,MESTIZO, TRANSF.,2870.00,861.00,2009.00
15,FEB,GURR PET, PAGADO,1270.00,381.00,889.00
16,FEB,BAZU, TRANSF.,2780.00,834.00,1946.00
16,FEB,PUPPY TOWN, MERCADO PAGO,2260.00,678.00,1582.00
16,FEB,CASA MANADA, PAGADO,6940.00,2082.00,4858.00
17,FEB,CASA MANADA AZTECAS, TRANSF.,1950.00,585.00,1365.00
17,FEB,VET. GLOBAL VET, EFECTIVO,1100.00,330.00,770.00
19,FEB,MUNDO MASCOTAS, EFECTIVO,2730.00,819.00,1911.00
22,FEB,VET. SAN JOSE, EFECTIVO,4430.00,1329.00,3101.00
22,FEB,VET. SAN VALENTIN, TRANSF.,1420.00,426.00,994.00
22,FEB,VET. KE PETS, EFECTIVO,1340.00,402.00,938.00
22,FEB,VET. FIDO, TRANSF.,1930.00,579.00,1351.00
22,FEB,VET. VALLE DE BRAVO, EFECTIVO,2130.00,639.00,1491.00
27,FEB,DOGGY WASH, EFECTIVO,770.00,231.00,539.00
27,FEB,PUPPY HOUSE, EFECTIVO,1750.00,525.00,1225.00
29,FEB,SPA ANIMALS, TRANSF.,2090.00,627.00,1463.00
29,FEB,CANIN CLUB, PAGADO,1280.00,384.00,896.00
29,FEB,PETS IMAGINARIUM, TRANSF.,3100.00,930.00,2170.00
5,MAR,VET. LOS DIAMANTES, EFECTIVO,930.00,279.00,651.00
